Grade Distribution by Institution, Course Group, Academic Organization, and Course for 4195
"Institution Code","Inst Description","Term Code","Term Description","Academic Group Code","Academic Group Description","Academic Organization Code","Academic Organization Description","Department Code","Course Subject","Catalog Number","GPA Grades","Total Grades","Percent Majors","Avg Class Grade","Avg Student GPA","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","P","S","I","R","NY","NR","NC","W","WX","Other","Data Freeze Date",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-T","522","NR","NR","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-T","579","41","44","48.8","3.078","3.403","2","3","15","5","5","0","5","3","1","0","0","0","2","0","0","0","0","0","0","3","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-U","701","42","50","95.6","3.826","3.748","1","22","15","4","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","5","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-U","702","240","244","98.3","3.873","3.709","18","146","62","10","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-U","714","37","42","84.2","3.546","3.595","0","11","12","7","5","1","0","1","0","0","0","0","0","0","0","0","0","1","0","4","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-U","723","36","40","72.2","3.75","3.638","0","14","16","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-U","730","6","6","0","3.85","3.64","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-X","500","17","18","70.6","3.771","3.685","0","8","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-X","501","8","9","100","4","3.729","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUKD","Business Kelley Direct","BUKD","BUKD-X","502","18","18","100","4","3.745","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-06-2019",
